score,log_posterior_frontal_alpha,log_theta_alpha,score_average19,subject,state,start_seconds
0.20050065291400376,1.264068841934204,-0.760547935962677,0.31570426947588803,sub-032303,EC,0.0
0.33280852465949573,1.2594220638275146,-0.5244325995445251,0.37130637801030564,sub-032303,EC,4.0
0.14724642929979892,2.030984401702881,-0.8803646564483643,0.29895076947506904,sub-032303,EC,8.0
0.32004436850586415,1.5137393474578857,-1.1307002305984497,0.4168460178629515,sub-032303,EC,12.0
0.3713250669990834,1.295120120048523,-0.7077598571777344,0.47109119453814363,sub-032303,EC,16.0
0.3434564451539881,0.6273271441459656,-0.11841891705989838,0.3544866842686777,sub-032303,EC,20.0
0.5813781957593225,0.598793089389801,-0.6723235249519348,0.4401645941332092,sub-032303,EC,24.0
0.46323997280982343,1.4953935146331787,-0.6185283064842224,0.5160950662339555,sub-032303,EC,28.0
0.6434256678229666,0.5878744125366211,0.3837210536003113,0.9339554785429243,sub-032303,EC,32.0
0.38009800164024876,1.9454693794250488,-1.3514927625656128,0.25898949367645985,sub-032303,EC,36.0
0.3163238091800096,2.3623876571655273,-1.1372369527816772,0.2731008776301649,sub-032303,EC,40.0
0.3822003532656131,1.012207269668579,-0.3100574016571045,0.5038386877569723,sub-032303,EC,44.0
0.3455261782817838,2.198784112930298,-0.8405996561050415,0.4389155506107876,sub-032303,EC,48.0
0.4341885319043782,1.0137584209442139,-0.14207029342651367,0.5357367501128716,sub-032303,EO,0.0
0.37089347135918194,1.0098705291748047,-0.34923821687698364,0.5250568281822119,sub-032303,EO,4.0
1.0635864461613873,0.6440749764442444,0.2831449806690216,1.14090737920532,sub-032303,EO,8.0
0.4421145848173136,0.5249670743942261,-0.47622179985046387,0.6320935574435439,sub-032303,EO,12.0
0.33492846962966016,0.8938363194465637,-0.05261357128620148,0.5441731691452283,sub-032303,EO,16.0
0.36862163802194137,0.8105911612510681,0.18389253318309784,0.6639910097259099,sub-032303,EO,20.0
0.6081701586060133,0.669546365737915,-0.09604749828577042,0.8684527593240692,sub-032303,EO,24.0
0.9986048419261926,0.2328587770462036,0.16140802204608917,0.8678670405079307,sub-032303,EO,28.0
1.3244209779980813,-0.050326231867074966,0.13952690362930298,1.392900088128924,sub-032303,EO,32.0
0.727225743692043,0.6323539614677429,-0.2043670117855072,0.981849269199997,sub-032303,EO,36.0
0.9490966743955316,0.4487007260322571,0.6323637962341309,1.2635984616266864,sub-032303,EO,40.0
1.1425138930179504,0.10052531212568283,0.20660674571990967,1.1018845213611366,sub-032303,EO,44.0
0.7449677148455751,0.8621000051498413,-0.5252215266227722,1.1016410909903804,sub-032303,EO,48.0
0.8972692589099635,0.04463779553771019,0.09195077419281006,1.416120254416054,sub-032303,EO,52.0
0.25876505218091383,3.135194778442383,-2.1083922386169434,0.5146496196740389,sub-032308,EC,0.0
0.47457963339496045,2.604836940765381,-1.762360692024231,0.7139764460167403,sub-032308,EC,4.0
0.45138041571893484,2.4434680938720703,-1.8028932809829712,0.5858138707354319,sub-032308,EC,8.0
0.5129121113769222,1.9789090156555176,-1.810796856880188,0.7283245181111376,sub-032308,EC,12.0
0.26333527468672635,2.158040761947632,-1.8557097911834717,0.3102003567984263,sub-032308,EC,16.0
0.23275946932990976,2.4117653369903564,-1.4674153327941895,0.30303278484280993,sub-032308,EC,20.0
0.3185170435199265,2.695244073867798,-2.133298397064209,0.46236064172276536,sub-032308,EC,24.0
0.4415082433602513,2.300083875656128,-2.0298821926116943,0.720465279767978,sub-032308,EC,28.0
0.511953600566615,2.37697434425354,-2.3256163597106934,0.7523282936006532,sub-032308,EC,32.0
0.4794875583166912,2.3084042072296143,-2.336799383163452,0.7076134887352339,sub-032308,EC,36.0
0.43482874169830477,2.7383639812469482,-2.265547275543213,0.6386996533932328,sub-032308,EC,40.0
0.4703026540928732,2.749645471572876,-2.101503610610962,0.7467612343165442,sub-032308,EC,44.0
0.5094885575196688,2.280991554260254,-2.061688184738159,0.7768884613241718,sub-032308,EC,48.0
